DISTRICT,Distrito,Cambio_economia,Alcanza,IrseDeEP,Ind_Eco,tiene_estudiantes,Edu_insatisfecho,sastif_prop,satis_elementary,prop_pub_elementary,satis_middle,prop_pub_middle,satis_high,pub_high,satis_college,pub_college,satis_grad,pub_grad,Seguro,Over_Satis,Facil_Satis,Doc_Serv_Satis,Attn_Time_Satis,Med_avail_Satis,Serv_Satis,attn_Satis,close_hlth_cent_Satis,city_service_satisfaction,water_serv_satis,trash_serv_satis,public_light_satis,transit_lights_satis,green_areas_satis,streets_paving_satis,power_satis,gas_satis,rec_center_satis,libraries_satis,com_center_satis,disab_spaces_satis,EP_Pride,Discrim_Prop,safety_percep,knows_rep,trust_district_rep,trust_mayor,trust_congres_rep,trust_senate,trust_house_rep,trust_state_senate,local_satisf_named,state_satisf_named,fed_satisf_named,index_local_govt_percep,index_state_govt_percep,index_fed_govt_percep,local_govt_percep,state_govt_percep,fed_govt_percep,particip_interest,Info_needed_to_particip,Place_needed_to_particip,Time_needed_to_particip,Money_needed_to_particip,Trust_needed_to_particip,Not_interested,Prop_Actually_particip,Voting_importance
1,Distrito 1,2.98540146,2.01459854,3.160583942,2.720194647,60,10,83.33333333,9.129032258,100,8.810810811,97.2972973,8.5,103.8461538,9.538461538,238.4615385,9.25,100,102.8985507,8.606299213,8.858267717,8.826771654,8.31496063,8.74015748,8.866141732,8.88976378,8.708661417,8.512768994,8.913043478,8.898550725,8.84057971,9.02173913,8.717391304,8.81884058,9.057971014,9.050724638,7.700729927,7.727941176,7.610687023,7.669230769,3.202898551,10.86956522,8.239130435,13.04347826,4.543478261,4.427536232,4.282608696,4.144927536,4.260869565,4.210144928,5.15942029,4.949275362,6.18115942,3.760869565,3.543478261,3.630434783,5.260869565,4.775362319,5.028985507,1.949275362,30,14,34,12,29,49,120.2898551,1.101449275
2,Distrito 2,2.834710744,2.319672131,3.398373984,2.850918953,77,7,90.90909091,9.204081633,100,9.166666667,100,9.324324324,100,9.272727273,445.4545455,9.333333333,66.66666667,100,8.168539326,8.640449438,8.449438202,7.325842697,8.488636364,8.426966292,8.505617978,8.112359551,7.725410855,8.278688525,7.804878049,6.991803279,7.876033058,7.520325203,6.495867769,8.314049587,8.433333333,7.946428571,7.893442623,7.8,7.886956522,3.26984127,48.41269841,7.626984127,44.44444444,5.968253968,5.817460317,5.793650794,5.825396825,5.753968254,5.841269841,5.341269841,4.865079365,5.238095238,4.628099174,4.544354839,4.592741935,4.238095238,4,4.103174603,2.134920635,41,21,42,39,32,59,113.4920635,1.23015873
3,Distrito 3,3.220472441,2.015748031,3.6328125,2.956344324,83,5,93.97590361,8.810810811,94.59459459,8.581818182,92.72727273,8.6875,103.125,9.4,700,NA,NA,99.2248062,8.630952381,8.975903614,8.880952381,7.571428571,8.892857143,8.952380952,8.928571429,8.602409639,7.224700493,5.03875969,7.96124031,7.782945736,8.240310078,7.620155039,7.968992248,4.76744186,5.100775194,8.03125,8.139534884,7.87804878,8.064220183,3.093023256,9.302325581,7.209302326,14.72868217,4.372093023,4.426356589,4.302325581,4.333333333,4.240310078,4.434108527,5.162790698,4.992248062,4.519379845,4.525193798,4.490310078,4.416666667,4.348837209,4.224806202,3.875968992,1.84496124,71,29,71,23,28,30,124.8062016,1.23255814
4,Distrito 4,3.230769231,1.930769231,3.2,2.787179487,42,0,100,9.4375,100,9.642857143,100,9.565217391,100,9.428571429,114.2857143,10,33.33333333,100,9.113821138,8.788617886,8.821138211,8.089430894,8.739837398,8.991869919,9.073170732,8.926829268,8.670560568,9.190839695,9.20610687,8.969465649,9.038167939,8.709923664,8.930769231,9.1,9.153846154,8.140625,7.838461538,7.885496183,7.846153846,3.167938931,0,8.625954198,9.160305344,4.709923664,4.503816794,4.480916031,4.358778626,4.328244275,4.351145038,6.312977099,5.442748092,6.503816794,3.517175573,3.368320611,3.341603053,5.72519084,5.687022901,5.740458015,1.86259542,20,6,36,4,30,35,110.6870229,1.045801527
5,Distrito 5,2.948717949,2.06779661,3.081081081,2.699198547,86,19,77.90697674,8.384615385,115.3846154,8.277777778,116.6666667,8.081081081,127.027027,9,346.1538462,10,125,105.0420168,7.875,8.16091954,8.534090909,6.517241379,8.068181818,8.284090909,8.448275862,7.477272727,7.857522706,8.058823529,7.754237288,7.644067797,8.201680672,7.571428571,7.788135593,8,8.367521368,7.786324786,7.991150442,7.403846154,7.510416667,3.302521008,40.33613445,7.781512605,42.85714286,6.058823529,6.159663866,6.092436975,6,6.092436975,6.226890756,5.932773109,5.381355932,5.745762712,5.531512605,5.397058824,5.405462185,5.504201681,5.504201681,5.56302521,2.389830508,61,23,40,34,32,35,103.3613445,1.152542373
6,Distrito 6,3.092307692,2.108527132,3.504065041,2.901633288,93,3,96.77419355,8.734375,90.625,8.611111111,96.2962963,8.638888889,100,8.8,386.6666667,8.25,100,104.5801527,9.108695652,9.164835165,9.22826087,7.836956522,8.826086957,9.108695652,9.119565217,8.641304348,8.137057599,7.320610687,8.740458015,8.20610687,8.480916031,8.259541985,8.046153846,7.276923077,7.488372093,8.430769231,8.535433071,8.457364341,8.294573643,3.396946565,10.6870229,7.786259542,10.6870229,6.007633588,6.198473282,6.045801527,6,5.969465649,6.030534351,7.175572519,5.305343511,6.122137405,5.553846154,5.356870229,5.269083969,5.244274809,4.923664122,4.977099237,1.969465649,28,13,50,11,23,70,112.2137405,1.190839695
7,Distrito 7,2.80620155,2.293650794,3.149606299,2.749819548,95,10,89.47368421,8.661016949,96.61016949,8.647058824,95.58823529,8.90625,96.875,8.46875,178.125,7.923076923,61.53846154,103.8461538,8.179775281,8.574712644,8.284090909,7.617977528,8.193181818,8.137931034,8.204545455,7.965909091,7.776074204,8.2734375,8.073770492,7.36,7.928571429,7.532258065,6.894308943,8.229508197,8.393700787,7.837398374,7.582677165,7.475806452,7.683333333,2.769230769,59.23076923,7.107692308,49.23076923,5.730769231,5.584615385,5.415384615,5.561538462,5.515384615,5.538461538,5.507692308,5.169230769,5.669230769,4.994186047,4.96875,4.88671875,4.546153846,4.130769231,4.269230769,1.992307692,32,20,33,30,28,81,105.3846154,1.130769231
8,Distrito 8,2.798319328,2.305084746,3.149122807,2.750842294,73,20,72.60273973,7.888888889,94.44444444,7.592592593,107.4074074,7.565217391,117.3913043,8.181818182,463.6363636,NA,NA,103.3613445,8.704545455,8.954545455,9.011363636,6.806818182,8.443181818,8.920454545,9,8.625,7.936671335,7.445378151,8.43697479,7.907563025,8.596638655,8.176470588,7.907563025,7.336134454,7.453781513,7.904347826,8.068376068,7.965811966,8.081632653,3.226890756,10.08403361,8.033613445,7.56302521,5.428571429,5.428571429,5.470588235,5.478991597,5.411764706,5.487394958,6.949579832,6.277310924,6.084033613,4.915966387,4.894957983,4.888655462,5.100840336,5.008403361,5.075630252,2.050420168,42,11,37,30,37,53,110.9243697,1.361344538
